A = 0, B = 0, C = 0, D = 0 => a = 1, b = 1, c = 1 , d = 1, e = 1, f = 1, g = 0
A = 0, B = 0, C = 0, D = 1 => a = 0, b = 1, c = 1 , d = 0, e = 0, f = 0, g = 0
A = 0, B = 0, C = 1, D = 0 => a = 1, b = 1, c = 0 , d = 1, e = 1, f = 0, g = 1
A = 0, B = 0, C = 1, D = 1 => a = 1, b = 1, c = 1 , d = 1, e = 0, f = 0, g = 1
A = 0, B = 1, C = 0, D = 0 => a = 0, b = 0, c = 1 , d = 0, e = 0, f = 1, g = 1
A = 0, B = 1, C = 0, D = 1 => a = 1, b = 1, c = 1 , d = 1, e = 0, f = 1, g = 1
A = 0, B = 1, C = 1, D = 0 => a = 1, b = 0, c = 1 , d = 1, e = 1, f = 1, g = 1
A = 0, B = 1, C = 1, D = 1 => a = 1, b = 0, c = 1 , d = 0, e = 0, f = 0, g = 0
A = 1, B = 0, C = 0, D = 0 => a = 1, b = 1, c = 1 , d = 1, e = 1, f = 1, g = 1
A = 1, B = 0, C = 0, D = 1 => a = 1, b = 1, c = 1 , d = 0, e = 0, f = 1, g = 1
A = 1, B = 0, C = 1, D = 0 => a = 1, b = 1, c = 1 , d = 0, e = 1, f = 1, g = 1
A = 1, B = 0, C = 1, D = 1 => a = 0, b = 0, c = 1 , d = 1, e = 1, f = 1, g = 1
A = 1, B = 1, C = 0, D = 0 => a = 0, b = 0, c = 0 , d = 1, e = 1, f = 1, g = 0
A = 1, B = 1, C = 0, D = 1 => a = 0, b = 1, c = 1 , d = 1, e = 1, f = 0, g = 1
A = 1, B = 1, C = 1, D = 0 => a = 1, b = 0, c = 0 , d = 1, e = 1, f = 1, g = 1
A = 1, B = 1, C = 1, D = 1 => a = 1, b = 0, c = 0 , d = 0, e = 1, f = 1, g = 1
